Pathway 1,Database 1,Relation,Pathway 2,Database 2
Type III interferon signaling,WikiPathways,Part Of,Cytokine Signaling in Immune system,Reactome
Type III interferon signaling,WikiPathways,Part Of,Immune System,Reactome
Type III interferon signaling,WikiPathways,Part Of,Interferon Signaling,Reactome
Urea cycle and metabolism of amino groups,WikiPathways,Part Of,Biosynthesis of amino acids,KEGG
Urea cycle and metabolism of amino groups,WikiPathways,Part Of,Metabolic pathways,KEGG
Urea cycle and metabolism of amino groups,WikiPathways,Part Of,Metabolism,Reactome
Urea cycle and metabolism of amino groups,WikiPathways,Part Of,Metabolism of amino acids and derivatives,Reactome
Valproic acid pathway,WikiPathways,Part Of,Drug metabolism - cytochrome P450,KEGG
Valproic acid pathway,WikiPathways,Part Of,Metabolism,Reactome
VEGFA-VEGFR2 Signaling Pathway,WikiPathways,Part Of,VEGF signaling pathway,KEGG
Vitamin A and Carotenoid Metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
Vitamin A and Carotenoid Metabolism,WikiPathways,Part Of,Metabolism,Reactome
Vitamin A and Carotenoid Metabolism,WikiPathways,Part Of,Metabolism of vitamins and cofactors,Reactome
Vitamin B12 Metabolism,WikiPathways,Part Of,Vitamin digestion and absorption,KEGG
Vitamin B12 Metabolism,WikiPathways,Part Of,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Reactome
Vitamin B12 Metabolism,WikiPathways,Part Of,Metabolism,Reactome
Vitamin B12 Metabolism,WikiPathways,Part Of,Metabolism of vitamins and cofactors,Reactome
Vitamin D Metabolism,WikiPathways,Part Of,Metabolic pathways,KEGG
White fat cell differentiation,WikiPathways,Part Of,Developmental Biology,Reactome
Wnt Signaling Pathway,WikiPathways,Equivalent,Wnt Signaling Pathway,WikiPathways
Wnt Signaling Pathway and Pluripotency,WikiPathways,Part Of,Wnt signaling pathway,KEGG
